City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,Margin,WonBy,Player_of_Match
Chennai,5/6/2023,2023,49,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Chennai Super Kings,6,wickets,M Pathirana
Delhi,5/6/2023,2023,50,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,Delhi Capitals,7,wickets,PD Salt
Ahmedabad,5/7/2023,2023,51,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,field,Gujarat Titans,56,runs,Shubman Gill
Jaipur,5/7/2023,2023,52,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Sunrisers Hyderabad,4,wickets,GD Phillips
Kolkata,5/8/2023,2023,53,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat,Kolkata Knight Riders,5,wickets,AD Russell
Mumbai,5/9/2023,2023,54,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,6,wickets,SA Yadav
Chennai,5/10/2023,2023,55,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,Chennai Super Kings,27,runs,RA Jadeja
Kolkata,5/11/2023,2023,56,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,Rajasthan Royals,9,wickets,YBK Jaiswal
Mumbai,5/12/2023,2023,57,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,Mumbai Indians,27,runs,SA Yadav
Hyderabad,5/13/2023,2023,58,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,Lucknow Super Giants,7,wickets,PN Mankad
Delhi,5/13/2023,2023,59,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,Punjab Kings,31,runs,P Simran Singh
Jaipur,5/14/2023,2023,60,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,112,runs,WD Parnell
Chennai,5/14/2023,2023,61,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,Kolkata Knight Riders,6,wickets,RK Singh
Ahmedabad,5/15/2023,2023,62,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,field,Gujarat Titans,34,runs,Shubman Gill
Lucknow,5/16/2023,2023,63,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,field,Lucknow Super Giants,5,runs,MP Stoinis
Dharamsala,5/17/2023,2023,64,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,field,Delhi Capitals,15,runs,RR Rossouw
